Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Barquero, V., Roldan, E.R.S., Soler, C., Vargas-Leitón, B., Sevilla, F., Camacho, M., Valverde, A.","57218899964; 7103228089; 7004873360; 25226263500; 57223438057; 57222408004; 57191896833","Relationship between fertility traits and kinematics in clusters of boar ejaculates",2021,"Biology",10,"7", 595,,,,,10.3390/biology10070595,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109376374&partnerID=40&md5=873ff179115daeb0650634f20cb1c6b8",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85109376374
"Zykova, A.K., Pantyukhov, P.V., Mastalygina, E.E., Chaverri-Ramos, C., Nikolaeva, S.G., Saavedra-Arias, J.J., Popov, A.A., Wortman, S.E., Poletto, M.","57190941925; 55368433100; 57144608400; 55541805800; 57198189450; 23390695500; 7402986626; 36599555300; 36647779300","Biocomposites of low-density polyethylene plus wood flour or flax straw: Biodegradation kinetics across three environments",2021,"Polymers",13,"13", 2138,,,,1,10.3390/polym13132138,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109293520&partnerID=40&md5=0f3870b4d90f81a21fe463330fe7dedd",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85109293520
"Bonilla, J.L., Oliveira, J.B., Flores, B., Jirón, W., Sheleby-Elías, J.","57225055562; 13613425400; 57190168008; 54788981000; 55884309100","First report of Trypanosoma vivax infection in sheep from Nicaragua",2021,"Veterinary Parasitology: Regional Studies and Reports",25,"", 100602,,,,,10.1016/j.vprsr.2021.100602,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108997994&partnerID=40&md5=38582d078c8453b92dd078bed947f550",Article,Final,"",Scopus,2-s2.0-85108997994
"Altamirano-Silva, P., Cordero-Serrano, M., Méndez-Montoya, J., Chacón-Díaz, C., Guzmán-Verri, C., Moreno, E., Chaves-Olarte, E.","36812835200; 57224845022; 57224846456; 23569410500; 6602305272; 7202827718; 6602745898","Intracellular passage triggers a molecular response in brucella abortus that increases its infectiousness",2021,"Infection and Immunity",89,"7", e00004-21,,,,,10.1128/IAI.00004-21,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108387177&partnerID=40&md5=523ea1d7de17dd33fc37e0782822b713",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85108387177
"González-Flores, Y., Montoro-Medina, A.B., Ruiz-Hidalgo, J.F.","57223694656; 57188624492; 14030345400","Analysis of definitions of limit provided by University students Análise das definições de limite fornecidas por estudantes universitários | Análisis de las definiciones de límite que brindan estudiantes universitarios",2021,"Uniciencia",35,"2",,,,,,10.15359/RU.35-2.18,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106043496&partnerID=40&md5=f2336780a0ffe3466ddc97e4e0474023",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85106043496
"Jiménez, K., Solano, K., Scholz, C., Redondo-López, S., Mena, F.","57223347600; 55368538500; 57191202800; 57223339271; 55368985600","Early Toxic Effects in a Central American Native Fish (Parachromis dovii) Exposed to Chlorpyrifos and Difenoconazole",2021,"Environmental Toxicology and Chemistry",40,"7",,1940,1949,,3,10.1002/etc.5048,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105668873&partnerID=40&md5=9ddd7cc074cd13033a5cd301a90eac3c",Article,Final,"",Scopus,2-s2.0-85105668873
"Iraheta, A., Birkel, C., Benegas, L., Ríos, N., Sánchez-Murillo, R., Beyer, M.","57223190551; 35753078100; 25225326400; 26533370800; 56096709800; 56921470800","A preliminary isotope-based evapotranspiration partitioning approach for tropical Costa Rica",2021,"Ecohydrology",14,"5", e2297,,,,2,10.1002/eco.2297,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105196477&partnerID=40&md5=75c4b02c1daff4450e73a5c66252f7f4",Article,Final,"",Scopus,2-s2.0-85105196477
"Fuhrimann, S., Farnham, A., Staudacher, P., Atuhaire, A., Manfioletti, T., Niwagaba, C.B., Namirembe, S., Mugweri, J., Winkler, M.S., Portengen, L., Kromhout, H., Mora, A.M.","56426280900; 57193638645; 57208225505; 57195200968; 57222495275; 24554331100; 57222494900; 55710817300; 26636058300; 6507587797; 55124612300; 51764101500","Exposure to multiple pesticides and neurobehavioral outcomes among smallholder farmers in Uganda",2021,"Environment International",152,"", 106477,,,,12,10.1016/j.envint.2021.106477,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102863427&partnerID=40&md5=27933063662e81853913de27dd4d837d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102863427
"García-Pérez, J., Ulloa-Rojas, J.B., Mendoza-Elvira, S.","57221048924; 6506433711; 6504587725","Bacterial pathogens and their antimicrobial resistance in tilapia culture in Guatemala | Patógenos bacterianos e sua resistência aos antimicrobianos nos cultivos de tilápia na Guatemala | Patógenos bacterianos y su resistencia a los antimicrobianos en los cultivos de tilapia en Guatemala",2021,"Uniciencia",35,"2",,1,17,,,10.15359/RU.35-2.4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098093778&partnerID=40&md5=14e307902bd57c5f424df92779526a5c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098093778
"Chacón-Guzmán, J., Carvajal-Oses, M., Herrera-Ulloa, Á.","57202110749; 57211338328; 6507658198","Optimization of larval culture for the production of juvenile spotted snapper Lutjanus guttatus in Costa Rica | Otimização do cultivo larval para a produção de juvenis do Luciano Lutjanus guttatus na Costa Rica | Optimización del cultivo larvario para la producción de juveniles del pargo manchado Lutjanus guttatus en Costa Rica",2021,"Uniciencia",35,"2", e14104,,,,,10.15359/RU.35-2.2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098051404&partnerID=40&md5=dac7504a8c2b1874bed2869e978443d7",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098051404
"Blanco-Molina, M., Pinazo-Hernandis, S., Montoro-Rodriguez, J., Tomas, J.M.","57209576120; 6504811900; 6505941299; 7101667474","Testing a Proactive Model of Successful Aging Among Older Adults in Costa Rica and Spain",2021,"International Journal of Aging and Human Development",93,"1",,619,635,,,10.1177/0091415020974621,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096608190&partnerID=40&md5=4610e2f1569a6571f1ad0d1742b81e14",Article,Final,"",Scopus,2-s2.0-85096608190
"Hyland, C., Bradshaw, P.T., Gunier, R.B., Mora, A.M., Kogut, K., Deardorff, J., Sagiv, S.K., Bradman, A., Eskenazi, B.","57194059111; 24330860600; 6603660068; 51764101500; 36872883100; 12785821700; 6602162644; 6602211513; 7005313147","Associations between pesticide mixtures applied near home during pregnancy and early childhood with adolescent behavioral and emotional problems in the CHAMACOS study",2021,"Environmental Epidemiology",5,"3", e150,,,,1,10.1097/EE9.0000000000000150,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113961128&partnerID=40&md5=e2b7faae54daf055f0da49626ad2b03c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85113961128
"Vargas, J.P.Z.","57440062200","Promoting the Pedagogical Use of Pictograms: A Case Study of Five In-Service Costa Rican English Teachers | Promovendo o uso pedagógico de pictogramas: um estudo de caso de cinco professores de inglês da Costa Rica",2021,"Brazilian English Language Teaching Journal",12,"1", A8,,,,,10.15448/2178-3640.2021.1.41142,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85124031018&partnerID=40&md5=6a9120b1fe0310bf96a5f1dac26fa71e",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85124031018
"Munóz-Jiménez, J., Rojas-Valverde, D., Leon, K.","57202402611; 57193240720; 57202515097","Future Challenges in the Assessment of Proprioception in Exercise Sciences: Is Imitation an Alternative?",2021,"Frontiers in Human Neuroscience",15,"", 664667,,,,1,10.3389/fnhum.2021.664667,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108154240&partnerID=40&md5=f28889ea64dc9ee70b1184db22c002eb",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85108154240
"Suárez-Esquivel, M., Ruiz-Villalobos, N., Hidalgo-Jara, W., Chacón-Díaz, C., Zúñiga-Pereira, A.M., Masís-Mora, M., Fernández-Fernández, E., Hernández-Mora, G., Barquero-Calvo, E., Chaves-Olarte, E., Thomson, N.R., Foster, J.T., Moreno, E., Guzmán-Verri, C.","57191821693; 56389575900; 57223226977; 23569410500; 57201327257; 56416487800; 57195546233; 24758807200; 22133768300; 6602745898; 7201917002; 7403380491; 7202827718; 6602305272","Canine brucellosis in Costa Rica reveals widespread Brucella canis infection and the recent introduction of foreign strains",2021,"Veterinary Microbiology",257,"", 109072,,,,1,10.1016/j.vetmic.2021.109072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105285980&partnerID=40&md5=4040c827c03ee3d8db482c28452ff385",Article,Final,"",Scopus,2-s2.0-85105285980
"Perng, W., Cantoral, A., Soria-Contreras, D.C., Betanzos-Robledo, L., Kordas, K., Liu, Y., Mora, A.M., Corvalan, C., Pereira, A., Cardoso, M.A., Chavarro, J.E., Breton, C.V., Meeker, J.D., Harley, K.G., Eskenazi, B., Peterson, K.E., Tellez-Rojo, M.M.","55183448400; 57194531871; 56338722100; 57218938179; 57203687777; 57205085339; 51764101500; 23484958300; 57223184613; 35477830600; 12776568000; 57210384450; 7003970613; 7003344120; 7005313147; 7201802959; 57203583920","Exposure to obesogenic endocrine disrupting chemicals and obesity among youth of Latino or Hispanic origin in the United States and Latin America: A lifecourse perspective",2021,"Obesity Reviews",22,"S3", e13245,,,,3,10.1111/obr.13245,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105042734&partnerID=40&md5=981e2d483ac76b28061a3dc6d92a5bd1",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85105042734
"Gómez-Carmona, C.D., Rojas-Valverde, D., Rico-González, M., Ibáñez, S.J., Pino-Ortega, J.","57199400943; 57193240720; 57211447357; 16031388100; 36343991000","What is the most suitable sampling frequency to register accelerometry-based workload? A case study in soccer",2021,"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",235,"2",,114,121,,1,10.1177/1754337120972516,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096310108&partnerID=40&md5=1421ef69f4d65963927a03f89e60f7c9",Article,Final,"",Scopus,2-s2.0-85096310108
"Rojas-Torres, L., Ordóñez, G., Calvo, K.","57224308961; 57224315454; 57211186329","Teacher and Student Practices Associated with Performance in the PISA Reading Literacy Evaluation",2021,"Frontiers in Education",6,"", 658973,,,,1,10.3389/feduc.2021.658973,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107326059&partnerID=40&md5=272f32a294fbfd16062c0cef408ade92",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85107326059
"Chavarriá-Arroyo, G., Albanese, V.","57223889733; 55849834800","Mathematical problems in the case of a curriculum: Analysis based on context and on contextualization | Problemas matemáticos en el caso de un currículo: Análisis con base en el contexto y en la contextualización",2021,"Avances de Investigacion en Educacion Matematica",,"19",,39,54,,,10.35763/aiem.v0i19.359,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106357500&partnerID=40&md5=4d410b747818c551a8a27bb9015b73f1",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85106357500
"Jin, H., Köppl, C.J., Fischer, B.M.C., Rojas-Conejo, J., Johnson, M.S., Morillas, L., Lyon, S.W., Durán-Quesada, A.M., Suárez-Serrano, A., Manzoni, S., Garcia, M.","48861632600; 57205166540; 55337262600; 57223925268; 56205607900; 55557413600; 10540061400; 35777594300; 35192286300; 57199505108; 35583406400","Drone-based hyperspectral and thermal imagery for quantifying upland rice productivity and water use efficiency after biochar application",2021,"Remote Sensing",13,"10", 1866,,,,1,10.3390/rs13101866,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106474512&partnerID=40&md5=bba39e273f9e54c2420382431d489a12",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85106474512
"Medrano-Galarza, C., Ahumada-Beltrán, D.G., Romero-Zúñiga, J.J., Donado-Godoy, P.","54881248100; 57356189300; 35362709300; 55212310400","Prevalence, incidence and risk factors of subclinical mastitis in specialized dairies in Colombia | Prevalencia, incidencia y factores de riesgo de mastitis subclínica en lecherías especializadas en Colombia1",2021,"Agronomy Mesoamerican",32,"2",,487,507,,,10.15517/am.v32i2.43794,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120039579&partnerID=40&md5=a648b1d316a9cbbcf06430f8a278aab7",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120039579
"Parajeles-Mora, J.F., Peña-Navarro, N., Solorzano-Morales, A., Dolz, G.","57355631500; 57192410446; 55884605000; 6602401375","Detection of IHHNV in Litopenaeus vannamei farms in Costa Rica | Detección de IHHNV en el cultivo de Litopenaeus vannamei en Costa Rica1",2021,"Agronomy Mesoamerican",32,"2",,587,598,,,10.15517/am.v32i2.43179,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120035745&partnerID=40&md5=c2ff9dc88c8e80968656534aa7fb42d4",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120035745
"Espinosa, H.A., De la Llata, E., Mora, J.M.","57224938922; 57224924026; 55047454300","Habitat segregation of adults and juveniles individuals from the garrobo ctenosaura similis in santa rosa national park, guanacaste, Costa Rica | Segregación de hábitat de individuos adultos y juveniles del garrobo ctenosaura similis en el parque nacional santa rosa, guanacaste, Costa Rica",2021,"Revista Latinoamericana de Herpetologia",4,"1",,26,34,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108625885&partnerID=40&md5=66d6266b5ba5b5482e543e4fff581b07",Article,Final,"",Scopus,2-s2.0-85108625885
"Esquivel-Hernández, G., Sánchez-Murillo, R., Vargas-Salazar, E.","55319904200; 56096709800; 57224093640","Chirripó hydrological research site: Advancing stable isotope hydrology in the Central American Páramo",2021,"Hydrological Processes",35,"5", e14181,,,,1,10.1002/hyp.14181,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106865977&partnerID=40&md5=3f3384478c235a1ded16b53ea34ea2fe",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85106865977
"Lewnard, J.A., Mora, A.M., Nkwocha, O., Kogut, K., Rauch, S.A., Morga, N., Hernandez, S., Wong, M.P., Huen, K., Andrejko, K., Jewell, N.P., Parra, K.L., Holland, N., Harris, E., Cuevas, M., Eskenazi, B., Camacho, J., Casillas, G., Castro, C., Chang, C., Flores, L., Garcia, L., de Vere, M.J., Garcia, M.R., Gomez, T., Hyland, C., Lampert, D., McDowell-Sanchez, A., Montes, D., Montoya, J., Nunez, L., Orozco, J.L., Orozco, M., Rezai, N., Rodriquez, M.T., Romero, M., Sheth, H., Yoshiyama, J., Zepeda, L.","56030679400; 51764101500; 57208499124; 36872883100; 55243460300; 35080933300; 57221673138; 57221672684; 12785910500; 57205457939; 7003984114; 56736413200; 7102605602; 57220877701; 57221674577; 7005313147; 10039501800; 56429066500; 57221672611; 57221678018; 57221671651; 57221670916; 57221678733; 57221677142; 57221676529; 57194059111; 57221676944; 57221673795; 57221671041; 57221673240; 57221676329; 57221673897; 57221673946; 57221673222; 57221673042; 57221678123; 57223282393; 57221671612; 57221673611","Prevalence and clinical profile of severe acute respiratory syndrome coronavirus 2 infection among farmworkers, California, USA, june-November 2020",2021,"Emerging Infectious Diseases",27,"5",,1330,1342,,7,10.3201/eid2705.204949,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105521968&partnerID=40&md5=f3a328f1aee055eee9331e9faf9eb34c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105521968
"Fullerton, K.M., Schrenk, M.O., Yücel, M., Manini, E., Basili, M., Rogers, T.J., Fattorini, D., Di Carlo, M., d’Errico, G., Regoli, F., Nakagawa, M., Vetriani, C., Smedile, F., Ramírez, C., Miller, H., Morrison, S.M., Buongiorno, J., Jessen, G.L., Steen, A.D., Martínez, M., de Moor, J.M., Barry, P.H., Giovannelli, D., Lloyd, K.G.","57208628889; 7004583109; 22735900000; 6602189233; 57216902424; 57205210426; 6603122929; 55213253200; 57223181404; 7006707077; 56468557000; 35578674600; 15061770400; 7102424433; 57208632411; 55268798300; 56910598800; 22985109600; 14050961300; 57209953916; 8651296800; 35239631700; 8591583200; 8670502400","Effect of tectonic processes on biosphere–geosphere feedbacks across a convergent margin",2021,"Nature Geoscience",14,"5",,301,306,,5,10.1038/s41561-021-00725-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105208608&partnerID=40&md5=e4b295524d7737c47b2bb8372cca6079",Article,Final,"",Scopus,2-s2.0-85105208608
"Morado, M.F., Melo, A.E., Jarman, A.","57201431785; 57223039153; 57207772480","Learning by making: A framework to revisit practices in a constructionist learning environment",2021,"British Journal of Educational Technology",52,"3",,1093,1115,,,10.1111/bjet.13083,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104576211&partnerID=40&md5=adca459cf9da3f46b400e85f2ad89ac9",Review,Final,"",Scopus,2-s2.0-85104576211
"Landa-Blanco, M., Mejía, C.J., Landa-Blanco, A.L., Martínez-Martínez, C.A., Vásquez, D., Vásquez, G., Moraga-Vargas, P., Echenique, Y., Del Cid, G.M., Montoya, B.D.","57214886425; 57222981793; 57222980038; 57219569197; 57222981615; 57219023265; 57222983119; 57219027038; 57222994083; 56607125600","Coronavirus awareness, confinement stress, and mental health: Evidence from Honduras, Chile, Costa Rica, Mexico and Spain",2021,"Social Science and Medicine",277,"", 113933,,,,4,10.1016/j.socscimed.2021.113933,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104277918&partnerID=40&md5=32f9339a0c809ac9664c2a3184d5cb59",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85104277918
"Muñoz-Arrieta, R., Esquivel-Alvarado, D., Alfaro-Viquez, E., Alvarez-Valverde, V., Krueger, C.G., Reed, J.D.","57202765841; 57200226954; 57200145874; 57204497163; 35547796100; 7403642384","Nutritional and bioactive composition of Spanish, Valencia, and Virginia type peanut skins",2021,"Journal of Food Composition and Analysis",98,"", 103816,,,,2,10.1016/j.jfca.2021.103816,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100021769&partnerID=40&md5=7a87e571494181c4e9e2699c5f946e74",Article,Final,"",Scopus,2-s2.0-85100021769
"Álvarez, O.E.R., Nicolás Vázquez, M.I., Oñate-Garzón, J., Arango, C.A.","57204907717; 55840364900; 57193490726; 56384500200","Validation by molecular dynamics of the major components of sugarcane vinasse, on a surface of calcium carbonate (Calcite)",2021,"Molecules",26,"8", 2353,,,,,10.3390/molecules26082353,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105169695&partnerID=40&md5=a1bbe079615a9543f7289d3a6226203b",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105169695
"Cordero, R.A.S., Garrido, A., Pérez-Molina, J.P., Ramírez-Alán, Ó., Chávez, J.L.","7006566470; 57226716859; 55505694200; 36855684800; 57226728860","Lichen community structure and richness in three mid-elevation secondary forests in costa rica | Estructura y riqueza de la comunidad liquénica de tres bosques secundarios de elevación media en costa rica",2021,"Revista de Biologia Tropical",69,"2",,688,699,,,10.15517/rbt.v69i2.46162,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112438676&partnerID=40&md5=987d570b96dbbdaee42d533178affc82",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85112438676
"Porras, K., Castro-Rodríguez, E.","57223846116; 57192354074","Errors middle school students make when performing mathematical modelling tasks",2021,"Acta Scientiae",23,"2",,29,57,,,10.17648/acta.scientiae.6193,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106266024&partnerID=40&md5=2865b2336aae4c9832e3b0ac52d584b9",Review,Final,"All Open Access, Green",Scopus,2-s2.0-85106266024
"Masic, A., Landsberg, G., Milgram, B., Merali, Z., Durst, T., Vindas, P.S., Garcia, M., Baker, J., Liu, R., Arnason, J.","56297835200; 7004491208; 55258213900; 7005734058; 7005593943; 11540700600; 7404277652; 55469101100; 56379353000; 10239421300","Efficacy of souroubea-platanus dietary supplement containing triterpenes in beagle dogs using a thunderstorm noise-induced model of fear and anxiety",2021,"Molecules",26,"7", 2049,,,,,10.3390/molecules26072049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105124314&partnerID=40&md5=5bbc0fd5da27db66498f649670a82060",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105124314
"Gatica, G.N., Munar, M., Sequeira, F.A.","7003823449; 57202136590; 48161853600","A mixed virtual element method for the boussinesq problem on polygonal meshes",2021,"Journal of Computational Mathematics",39,"3",,392,427,,3,10.4208/JCM.2001-M2019-0187,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104989552&partnerID=40&md5=c7631c29b94b35658268a67625590917",Article,Final,"",Scopus,2-s2.0-85104989552
"Birkel, C., Correa Barahona, A., Duvert, C., Granados Bolaños, S., Chavarría Palma, A., Durán Quesada, A.M., Sánchez Murillo, R., Biester, H.","35753078100; 57217854511; 35368255200; 57209296709; 57217857170; 35777594300; 56096709800; 6603865477","End member and Bayesian mixing models consistently indicate near-surface flowpath dominance in a pristine humid tropical rainforest",2021,"Hydrological Processes",35,"4", e14153,,,,1,10.1002/hyp.14153,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104971249&partnerID=40&md5=c1c7a097f75b80a38b185440ef1d996e",Article,Final,"",Scopus,2-s2.0-85104971249
"Di Chiara, A., Tauxe, L., Staudigel, H., Florindo, F., Protti, M., Yu, Y., Wartho, J.-A., van den Bogaard, P., Hoernle, K.","48861132100; 7005630138; 7003773594; 56415177200; 7006160987; 57309216900; 6601992986; 6701360040; 56881754000","Earth's Magnetic Field Strength and the Cretaceous Normal Superchron: New Data From Costa Rica",2021,"Geochemistry, Geophysics, Geosystems",22,"4", e2020GC009605,,,,3,10.1029/2020GC009605,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104602842&partnerID=40&md5=c2b939119d73c0294cd92d2f39b33fcb",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85104602842
"Vedelago, J., Chacón, D., Romero, M., Venencia, D., Mattea, F., Valente, M.","56378079300; 57189463797; 23493653600; 6504239109; 24512800200; 36462749400","Dose-response of Fricke- and PAGAT-dosimetry gels in kilovoltage and megavoltage photon beams: Impact of LET on sensitivity",2021,"Physica Medica",84,"",,41,49,,1,10.1016/j.ejmp.2021.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103727269&partnerID=40&md5=2460e17fa42c9afae54c3df8de6229ef",Article,Final,"",Scopus,2-s2.0-85103727269
"Morencos, E., Romero-Moraleda, B., Rico-González, M., Rojas-Valverde, D., Pino-Ortega, J.","54412704200; 55484407000; 57211447357; 57193240720; 36343991000","Principal component analysis identifies different representative match load profiles in international women's field hockey based on playing positions | El análisis de componentes principales identifica diferentes perfiles de rendimiento en función de las posiciones en partidos internacionales de hockey hierba femenino",2021,"RICYDE: Revista Internacional de Ciencias del Deporte",17,"64",,112,123,,,10.5232/RICYDE2021.06401,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103101749&partnerID=40&md5=bd8f9c41f56d090cf0dfe34afdc52621",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85103101749
"Jiménez-Bonilla, P., Feng, J., Wang, S., Zhang, J., Wang, Y., Blersch, D., de-Bashan, L.E., Gaillard, P., Guo, L., Wanga, Y.","57195715236; 55468539700; 57206844269; 55908826000; 36545405000; 13004976900; 55995874500; 57215013593; 37099806500; 57222480962","Identification and Investigation of Autolysin Genes in Clostridium saccharoperbutylacetonicum Strain N1-4 for Enhanced Biobutanol Production",2021,"Applied and Environmental Microbiology",87,"7",,1,2,,1,10.1128/AEM.02442-20,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102830674&partnerID=40&md5=3891ddf3d6a82026356b7eefa1a30908",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85102830674
"Osorio-Saez, E.M., Eryilmaz, N., Sandoval-Hernandez, A., Lau, Y.-Y., Barahona, E., Bhatti, A.A., Ofoe, G.C., Ordóñez, L.A.C., Ochoa, A.A.C., Espinoza Pizarro, R.Á., Aguilar, E.F., Isac, M.M., Dhanapala, K.V., Kameshwara, K.K., Contreras, Y.A.M., Mekonnen, G.T., Mejía, J.F., Miranda, C., Moh'd, S.A., Ulloa, R.M., Morgan, K.K., Morgan, T.L., Mori, S., Nde, F.E., Panzavolta, S., Parcerisa, L., Paz, C.L., Picardo, O., Piñeros, C., Rivera-Vargas, P., Rosa, A., Saldarriaga, L.M., Aberastury, A.S., Tang, Y.M., Taniguchi, K., Treviño, E., Celis, C.V., Villalobos, C., Zhao, D., Zionts, A.","57219935326; 57221863956; 55581625600; 37087294800; 57221869805; 57210325400; 57221872006; 57221873289; 57221874041; 57221866506; 57221869069; 44661280800; 56085980800; 57218246494; 57221860558; 57221866323; 57221861937; 57221863720; 57221867586; 57221873739; 57221859879; 57205702168; 57221863253; 57221875407; 57221874006; 56976292600; 57221861230; 57221870612; 57221873301; 57215604222; 57221871984; 6504101140; 57221874714; 55231482700; 56642296000; 37125204200; 57221873967; 55823773500; 57221860624; 57221863916","Survey data on the impact of COVID-19 on parental engagement across 23 countries",2021,"Data in Brief",35,"", 106813,,,,5,10.1016/j.dib.2021.106813,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100463990&partnerID=40&md5=2b615d3c88eb334b8c136d349e15801d",Data Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85100463990
"Quesada-Alvarado, F., Umaña-Villalobos, G., Springer, M., Picado-Barboza, J.","57218692055; 36705182800; 8620873700; 57188702645","Classification of aquatic macroinvertebrates in flow categories for the adjustment of the LIFE Index to Costa Rican rivers",2021,"Ecohydrology and Hydrobiology",21,"2",,368,376,,3,10.1016/j.ecohyd.2020.08.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090066027&partnerID=40&md5=43b2c3d8635f8034bd34fa49dd1c1b5d",Article,Final,"",Scopus,2-s2.0-85090066027
"González, K., Warkentin, K.M., Güell, B.A.","57207116264; 6701345991; 57194465219","Dehydration-induced mortality and premature hatching in gliding treefrogs with even small reductions in humidity",2021,"Ichthyology and Herpetology",109,"1",,21,30,,,10.1643/h2020085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112783346&partnerID=40&md5=a68951402e817b051f6e4021a6bd4710",Article,Final,"",Scopus,2-s2.0-85112783346
"Soto-Cruz, J., Conejo-Valverde, P., Sáenz-Arce, G., Dou, H., Rojas-Carrillo, O.","57210153190; 57210144594; 24345140200; 9280027200; 57191842189","Biofabrication of Gold Nanotriangles Using Liposomes as a Dual Functional Reductant and Stabilizer",2021,"Langmuir",37,"11",,3446,3455,,3,10.1021/acs.langmuir.1c00104,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103451280&partnerID=40&md5=5415e71d8c18ff179e41b961d213ac77",Article,Final,"",Scopus,2-s2.0-85103451280
"Rüdiger, J., Gutmann, A., Bobrowski, N., Liotta, M., Maarten De Moor, J., Sander, R., Dinger, F., Tirpitz, J.-L., Ibarra, M., Saballos, A., Martínez, M., Mendoza, E., Ferrufino, A., Stix, J., Valdés, J., Castro, J.M., Hoffmann, T.","57195553709; 57201792799; 8528352100; 18935790900; 8651296800; 8732198500; 57192206567; 57201725577; 37012782900; 19337868300; 57209953916; 57201352713; 57222906132; 7003827758; 55435001000; 7403067967; 41561458500","Halogen activation in the plume of Masaya volcano: Field observations and box model investigations",2021,"Atmospheric Chemistry and Physics",21,"5",,3371,3393,,6,10.5194/acp-21-3371-2021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104209858&partnerID=40&md5=b452b057bfda39190f28456abe670359",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104209858
