internalTaxonId,scientificName,name,language,main
135803,Bolitoglossa bramei,Brame's Web-footed Salamander,English,true
136082,Bolitoglossa gomezi,Gomez’s Web-footed Salamander,English,true
176798,Drymobius melanotropis,Black Forest Racer,English,false
176798,Drymobius melanotropis,Lower-montane Green Racer,English,false
176799,Drymobius rhombifer,Esmarald Racer,English,true
176805,Erythrolamprus bizona,Double-banded Coral Snake Mimic,English,true
176806,Geophis brachycephalus,Colombian Earth Snake,English,true
176808,Geophis ruthveni,Ruthven's Earth Snake,English,false
176820,Imantodes inornatus,Plain Tree Snake,English,false
176820,Imantodes inornatus,Speckled Blunt-headed Tree Snake,English,false
176820,Imantodes inornatus,Yellow Blunt-headed Tree Snake,English,false
176820,Imantodes inornatus,Bejuquillo,Spanish; Castilian,false
176820,Imantodes inornatus,Western Tree Snake,English,true
176869,Nothopsis rugosus,Rough Coffee Snake,English,true
177444,Pliocercus euryzonus,Black Halloween Snake,English,false
177444,Pliocercus euryzonus,Coral Falsa,Spanish; Castilian,false
177444,Pliocercus euryzonus,Cope's False Coral Snake,English,true
177498,Rhinobothryum bovallii,False Tree Coral,English,true
177499,Siphlophis compressus,Tropical Flat Snake,English,true
177507,Tantilla vermiformis,Hallowell's Centipede Snake,English,false
177516,Trimetopon slevini,Slevin's Tropical Ground Snake,English,true
178254,Echinosaura apodemus,Uzzell's Neusticurus,English,true
178294,Lepidophyma reticulatum,Lagartija Nocturna de Costa Rica,Spanish; Castilian,false
178294,Lepidophyma reticulatum,Costa Rican Tropical Night Lizard,English,true
178482,Holcosus quadrilineatus,Four-lined Ameiva,English,false
178644,Anolis altae,High Anole,English,true
178714,Aspidoscelis deppii,Blackbelly Racerunner,English,true
178725,Anolis carpenteri,Carpenter Anole,English,true
186063,Bolitoglossa robinsoni,Robinson’s Web-footed Salamander,English,true
186104,Bolitoglossa pygmaea,Pygmy Web-footed Salamander,English,true
190508,Thecadactylus rapicauda,Turniptail Gecko,English,true
190608,Leptodrymus pulcherrimus,Striped Lowland Snake,English,true
190633,Spilotes pullatus,Yellow Rat Snake,English,false
190633,Spilotes pullatus,Chicken Snake,English,true
197428,Amastridium veliferum,Rustyhead Snake,English,false
197436,Holcosus undulatus,Rainbow Ameiva,English,true
197440,Anolis cristatellus,Puerto Rico Crested Anole,English,true
197443,Anolis sagrei,Brown Anole,English,false
197443,Anolis sagrei,Cuban Brown Anole,English,true
197460,Basiliscus vittatus,Brown Basilisk,English,true
197463,Bothriechis schlegelii,Serpiente Loro,Spanish; Castilian,false
197463,Bothriechis schlegelii,Víbora de Pestañas,Spanish; Castilian,false
197463,Bothriechis schlegelii,Eyelash Viper,English,true
197468,Clelia clelia,Culebra Minadora,Spanish; Castilian,false
197468,Clelia clelia,Lisa,Spanish; Castilian,false
197468,Clelia clelia,Tiznada,Spanish; Castilian,false
197468,Clelia clelia,Víbora de Sangre (Juvenile),Spanish; Castilian,false
197468,Clelia clelia,Zopilota,Spanish; Castilian,false
197468,Clelia clelia,Mussurana,English,true
197471,Coniophanes bipunctatus,Two-spotted Snake,English,true
197476,Corytophanes cristatus,Smooth Helmeted Iguana,English,true
197480,Crotalus simus,Cascabel,Spanish; Castilian,false
197480,Crotalus simus,Middle American Rattlesnake,English,true
197481,Drymobius margaritiferus,Central American Speckled Racer,English,false
197481,Drymobius margaritiferus,Speckled Racer,English,true
197484,Enulius flavitorques,Pacific Longtail Snake,English,true
197487,Gonatodes albogularis,White-throated Gecko,English,false
197487,Gonatodes albogularis,Yellow-headed Gecko,English,true
197490,Imantodes gemmistratus,Central American Tree Snake,English,true
197495,Lepidophyma flavimaculatum,Yellow-spotted Night Lizard,English,true
197497,Leptodeira annulata,Banded Cat-eyed Snake,English,true
197498,Leptodeira septentrionalis,Cat-eyed Snake,English,false
197498,Leptodeira septentrionalis,Northern Cat-eyed Snake,English,true
197499,Leptophis ahaetulla,Parrot Snake,English,true
197500,Leptophis mexicanus,Mexican Parrot Snake,English,true
198388,Ninia sebae,Culebrilla del Café,Spanish; Castilian,false
198388,Ninia sebae,Redback Coffee Snake,English,true
