internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
176253,Mesaspis monticola,"Gerrhonotus alfaroi Stejneger, 1907",Gerrhonotus,alfaroi,"Stejneger, 1907",,
176253,Mesaspis monticola,"Barisia monticola (Cope, 1877)",Barisia,monticola,"(Cope, 1877)",,
176253,Mesaspis monticola,"Gerrhonotus monticola Cope, 1877",Gerrhonotus,monticola,"Cope, 1877",,
176798,Drymobius melanotropis,"Dendrophidium melanotropis Cope, 1876",Dendrophidium,melanotropis,"Cope, 1876",,
176799,Drymobius rhombifer,"Zamenis rhombifer (Günther, 1860)",Zamenis,rhombifer,"(Günther, 1860)",,
176799,Drymobius rhombifer,"Coryphodon rhombifer Günther, 1860",Coryphodon,rhombifer,"Günther, 1860",,
176799,Drymobius rhombifer,"Spilotes rhombifer (Günther, 1860)",Spilotes,rhombifer,"(Günther, 1860)",,
176805,Erythrolamprus bizona,"Erythrolamprus bizonus Jan, 1863 [orth. error]",Erythrolamprus,bizonus,"Jan, 1863 [orth. error]",,
176805,Erythrolamprus bizona,"Erythrolamprus aesculapii var. bizona Jan, 1863",Erythrolamprus,aesculapii,,variety,"Jan, 1863"
176806,Geophis brachycephalus,"Geophis moestus Günther, 1872",Geophis,moestus,"Günther, 1872",,
176806,Geophis brachycephalus,"Geophis chalcybaea (Günther, 1872)",Geophis,chalcybaea,"(Günther, 1872)",,
176806,Geophis brachycephalus,"Colobognathus dolichocephalus Cope, 1871",Colobognathus,dolichocephalus,"Cope, 1871",,
176806,Geophis brachycephalus,"Geophis dolichocephala (Cope, 1871)",Geophis,dolichocephala,"(Cope, 1871)",,
176806,Geophis brachycephalus,"Colobognathus brachycephalus Cope, 1871",Colobognathus,brachycephalus,"Cope, 1871",,
176808,Geophis ruthveni,"Catastoma ruthveni (Werner, 1925)",Catastoma,ruthveni,"(Werner, 1925)",,
176820,Imantodes inornatus,"Himantodes inornatus Boulenger, 1896",Himantodes,inornatus,"Boulenger, 1896",,
176869,Nothopsis rugosus,"Nothopsis torresi Taylor, 1951",Nothopsis,torresi,"Taylor, 1951",,
176869,Nothopsis rugosus,"Nothopsis affinis Boulenger, 1905",Nothopsis,affinis,"Boulenger, 1905",,
177444,Pliocercus euryzonus,"Pliocercus annellatus Taylor, 1951",Pliocercus,annellatus,"Taylor, 1951",,
177444,Pliocercus euryzonus,"Pliocercus aerubricus (Taylor, 1954) [orth. error]",Pliocercus,aerubricus,"(Taylor, 1954) [orth. error]",,
177444,Pliocercus euryzonus,"Pliocercus arubricus Taylor, 1954",Pliocercus,arubricus,"Taylor, 1954",,
177444,Pliocercus euryzonus,"Urotheca euryzona (Cope, 1862)",Urotheca,euryzona,"(Cope, 1862)",,
177444,Pliocercus euryzonus,"Pliocercus dimidiatus Cope, 1865",Pliocercus,dimidiatus,"Cope, 1865",,
177499,Siphlophis compressus,"Tripanurgos compressus (Daudin, 1803)",Tripanurgos,compressus,"(Daudin, 1803)",,
177499,Siphlophis compressus,"Coluber compressus Daudin, 1803",Coluber,compressus,"Daudin, 1803",,
177507,Tantilla vermiformis,"Homalocranium vermiforme (Hallowell, 1861)",Homalocranium,vermiforme,"(Hallowell, 1861)",,
177507,Tantilla vermiformis,"Lioninia vermiformis Hallowell, 1861",Lioninia,vermiformis,"Hallowell, 1861",,
177512,Urotheca guentheri,"Rhadinaea guentheri Dunn, 1938",Rhadinaea,guentheri,"Dunn, 1938",,
177564,Rhadinella serperaster,"Rhadinaea serperastra Cope, 1871 [orth. error]",Rhadinaea,serperastra,"Cope, 1871 [orth. error]",,
177564,Rhadinella serperaster,"Rhadinaea serperaster Cope, 1871",Rhadinaea,serperaster,"Cope, 1871",,
178224,Lepidoblepharis xanthostigma,"Lathrogecko xanthostigma Noble, 1916",Lathrogecko,xanthostigma,"Noble, 1916",,
178254,Echinosaura apodemus,"Potamites apodemus (Uzzell, 1966)",Potamites,apodemus,"(Uzzell, 1966)",,
178254,Echinosaura apodemus,"Neusticurus apodemus Uzzell, 1966",Neusticurus,apodemus,"Uzzell, 1966",,
178482,Holcosus quadrilineatus,"Ameiva quadrilineata (Hallowell, 1861)",Ameiva,quadrilineata,"(Hallowell, 1861)",,
178482,Holcosus quadrilineatus,"Cnemidophorus quadrilineatus Hallowell, 1861",Cnemidophorus,quadrilineatus,"Hallowell, 1861",,
178644,Anolis altae,"Norops altae (Dunn, 1930)",Norops,altae,"(Dunn, 1930)",,
178644,Anolis altae,"Anolis achilles Taylor, 1956",Anolis,achilles,"Taylor, 1956",,
178714,Aspidoscelis deppii,"Cnemidophorus alfaronis Cope, 1894",Cnemidophorus,alfaronis,"Cope, 1894",,
178714,Aspidoscelis deppii,"Cnemidophorus lativittis Cope, 1878",Cnemidophorus,lativittis,"Cope, 1878",,
178714,Aspidoscelis deppii,"Cnemidophorus decemlineatus Hallowell, 1861",Cnemidophorus,decemlineatus,"Hallowell, 1861",,
178714,Aspidoscelis deppii,"Aspidoscelis deppei (Wiegmann, 1834) [orth. error]",Aspidoscelis,deppei,"(Wiegmann, 1834) [orth. error]",,
178714,Aspidoscelis deppii,"Cnemidophorus deppii Wiegmann, 1834",Cnemidophorus,deppii,"Wiegmann, 1834",,
178725,Anolis carpenteri,"Anolis procellaris Myers, 1971",Anolis,procellaris,"Myers, 1971",,
178725,Anolis carpenteri,"Norops carpenteri (Echelle, Echelle & Fitch, 1971)",Norops,carpenteri,"(Echelle, Echelle & Fitch, 1971)",,
190508,Thecadactylus rapicauda,"Gekko rapicauda Houttuyn, 1782",Gekko,rapicauda,"Houttuyn, 1782",,
190608,Leptodrymus pulcherrimus,"Masticophis pulcherrimus Cope, 1874",Masticophis,pulcherrimus,"Cope, 1874",,
190633,Spilotes pullatus,"Coluber pullatas Linnaeus, 1758",Coluber,pullatas,"Linnaeus, 1758",,
197436,Holcosus undulatus,"Ameiva undulata (Wiegmann, 1834)",Ameiva,undulata,"(Wiegmann, 1834)",,
197436,Holcosus undulatus,"Cnemidophorus undulatus Wiegmann, 1834",Cnemidophorus,undulatus,"Wiegmann, 1834",,
197437,Anolis lemurinus,"Anolis rhombifer Boulenger, 1894",Anolis,rhombifer,"Boulenger, 1894",,
197440,Anolis cristatellus,"Anolis cozumelae Smith, 1939",Anolis,cozumelae,"Smith, 1939",,
197442,Anolis capito,"Norops capito (Peters, 1863)",Norops,capito,"(Peters, 1863)",,
197443,Anolis sagrei,"Norops sagrei (Duméril & Bibron, 1837)",Norops,sagrei,"(Duméril & Bibron, 1837)",,
197444,Anolis pentaprion,"Norops pentaprion (Cope, 1862)",Norops,pentaprion,"(Cope, 1862)",,
197444,Anolis pentaprion,"Norops cristifer (Cope, 1862)",Norops,cristifer,"(Cope, 1862)",,
197448,Anolis cupreus,"Norops cupreus (Hallowell, 1860)",Norops,cupreus,"(Hallowell, 1860)",,
197458,Atropoides mexicanus,"Atropos mexicanus Duméril, Bibron & Duméril, 1854",Atropos,mexicanus,"Duméril, Bibron & Duméril, 1854",,
197463,Bothriechis schlegelii,"Trigonocephalus schlegelii Berthold, 1846",Trigonocephalus,schlegelii,"Berthold, 1846",,
197468,Clelia clelia,"Coluber clelia Daudin, 1803",Coluber,clelia,"Daudin, 1803",,
197471,Coniophanes bipunctatus,"Coronella bipunctatus Günther, 1858",Coronella,bipunctatus,"Günther, 1858",,
197476,Corytophanes cristatus,"Agama cristata Merrem, 1820",Agama,cristata,"Merrem, 1820",,
197481,Drymobius margaritiferus,"Herpetodryas margaritiferus Schlegel, 1837",Herpetodryas,margaritiferus,"Schlegel, 1837",,
197484,Enulius flavitorques,"Liophis flavitorques Cope, 1868",Liophis,flavitorques,"Cope, 1868",,
197487,Gonatodes albogularis,"Stenodactylus fuscus Hallowell, 1855",Stenodactylus,fuscus,"Hallowell, 1855",,
197487,Gonatodes albogularis,"Gymnodactylus albogularis Duméril & Bibron, 1836",Gymnodactylus,albogularis,"Duméril & Bibron, 1836",,
197488,Gymnophthalmus speciosus,"Blepharictisis speciosa Hallowell, 1861",Blepharictisis,speciosa,"Hallowell, 1861",,
197490,Imantodes gemmistratus,"Himantodes gemmistratus Cope, 1861",Himantodes,gemmistratus,"Cope, 1861",,
197491,Imantodes cenchoa,"Coluber cenchoa Linnaeus, 1758",Coluber,cenchoa,"Linnaeus, 1758",,
197497,Leptodeira annulata,"Coluber annulatus Linnaeus, 1758",Coluber,annulatus,"Linnaeus, 1758",,
197498,Leptodeira septentrionalis,"Leptodeira polysticta Günther, 1895",Leptodeira,polysticta,"Günther, 1895",,
197499,Leptophis ahaetulla,"Coluber ahaetulla Linnaeus, 1758",Coluber,ahaetulla,"Linnaeus, 1758",,
197499,Leptophis ahaetulla,"Leptophis santamartensis Bernal-Carlo &amp; Roze, 1994",Leptophis,santamartensis,"Bernal-Carlo &amp; Roze, 1994",,
198388,Ninia sebae,"Streptophorus sebae Duméril, Bibron & Duméril, 1854",Streptophorus,sebae,"Duméril, Bibron & Duméril, 1854",,
198389,Oxybelis fulgidus,"Coluber fulgidus Daudin, 1803",Coluber,fulgidus,"Daudin, 1803",,
198390,Oxybelis aeneus,"Dryinus aeneus Wagler, 1824",Dryinus,aeneus,"Wagler, 1824",,
198391,Oxyrhopus petolarius,"Coluber petola Linnaeus, 1758",Coluber,petola,"Linnaeus, 1758",,
198401,Rhadinaea decorata,"Coronella decorata Günther, 1858",Coronella,decorata,"Günther, 1858",,
